CandidateOrder,ModelKey,Model,Dataset,DatasetName,DatasetAvailability,AvailabilityReason,ResultStatus,ResultNote,Device,Split,InputProtocol,ClipCount,FramesUsed,PowerBackend,PublishedTop1(%),PublishedAccuracyScope,MeasuredTop1Local(%),MeasuredAccuracyScope,AccuracyDeltaLocalMinusPublished(pp),AccuracyUsedForNetScore(%),AccuracySourceForNetScore,Latency(ms/clip),AvgPower(W),Energy(J/clip),TotalTime(s),TotalEnergy(J),PeakVRAM(MiB),NS-E(1/8),NS-M(1/8),NS#(1/8),RankNS-EWithinDataset,RankNS-MWithinDataset,RankNS#WithinDataset
1,uniformer-b,UniFormer-B,ssv2,Something-Something-v2,official_pair_supported,Official UniFormer-B 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,16.0,pynvml/NVML,70.4,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,67.1,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-3.3000000000000114,67.1,measured,163.1,52.51,8.563,163.089,8563.34,323.0,63.24,66.79,56.96,3,1,2
2,uniformer-s,UniFormer-S,ssv2,Something-Something-v2,official_pair_supported,Official UniFormer-S 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,16.0,pynvml/NVML,67.7,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,65.1,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-2.6000000000000085,65.1,measured,78.8,52.95,4.173,78.819,4173.25,215.0,63.49,66.71,57.66,1,2,1
3,mvit-b-24-32x3,"MViT-B-24, 32x3",ssv2,Something-Something-v2,no_exact_variant_pair,No exact supervised SSV2 checkpoint matching the selected MViT-B-24 32x3 v1 configuration is registered; MViTv2 is a different model and is not substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
4,mvit-v1-b,"MViT-B, 32x3",ssv2,Something-Something-v2,no_exact_variant_pair,No exact supervised SSV2 checkpoint matching the selected MViT-B 32x3 v1 configuration is registered; MViTv2 is a different model and is not substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
5,videoswin-t,VideoSwin-T,ssv2,Something-Something-v2,no_exact_variant_pair,The integrated Video Swin SSV2 release provides the selected Base configuration but not an exact Tiny classifier pair; no proxy is substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
6,videoswin-s,VideoSwin-S,ssv2,Something-Something-v2,no_exact_variant_pair,The integrated Video Swin SSV2 release provides the selected Base configuration but not an exact Small classifier pair; no proxy is substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
7,videoswin-b,VideoSwin-B,ssv2,Something-Something-v2,official_pair_supported,Official VideoSwin-B 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,69.6,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,69.5,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-0.09999999999999432,69.5,measured,601.1,58.98,35.452,601.081,35452.26,2156.0,62.31,65.35,53.97,4,4,4
8,timesformer-b,TimeSformer-B,ssv2,Something-Something-v2,official_pair_supported,Official TimeSformer-B 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,59.1,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,57.6,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-1.5,57.6,measured,167.1,55.36,9.251,167.088,9250.83,750.0,60.5,63.23,53.31,6,6,5
9,video-focalnet-t,Video-FocalNet-T,ssv2,Something-Something-v2,no_exact_variant_pair,The integrated Video-FocalNets SSV2 release provides Base but not an exact Tiny classifier pair; no proxy is substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
10,video-focalnet-s,Video-FocalNet-S,ssv2,Something-Something-v2,no_exact_variant_pair,The integrated Video-FocalNets SSV2 release provides Base but not an exact Small classifier pair; no proxy is substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
11,video-focalnet-b,Video-FocalNet-B,ssv2,Something-Something-v2,official_pair_supported,Official Video-FocalNet-B 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,8.0,pynvml/NVML,71.1,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,61.1,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-9.999999999999993,61.1,measured,228.1,57.44,13.103,228.107,13102.67,1461.0,61.15,63.53,53.24,5,5,6
12,dualformer-t,DualFormer-T,ssv2,Something-Something-v2,no_supervised_ssv2_release,No exact released and registered 174-class SSV2 classifier is available for DualFormer-T; its K400 head cannot be reused.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
13,omnivore-b,Omnivore-B,ssv2,Something-Something-v2,no_supervised_ssv2_release,No official 174-class SSV2 head is released and registered for Omnivore-B; its K400 or multitask heads are not substituted.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
14,videomae-b,VideoMAE-B,ssv2,Something-Something-v2,official_pair_supported,Official VideoMAE-B 174-class SSV2 checkpoint and configuration are released and the exact repository adapter is registered.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,official_validation_local_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,70.8,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,68.6,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-2.200000000000003,68.6,measured,190.7,56.76,10.826,190.745,10825.76,809.0,63.37,66.18,56.1,2,3,3
15,vtn-b,VTN-B,ssv2,Something-Something-v2,no_supervised_ssv2_release,No exact released and registered 174-class SSV2 classifier is available for VTN-B; its K400 head cannot be reused.,not_available,No exact supervised model/dataset pair; numeric fields remain blank.,,,,,,,,,,,,,,,,,,,,,,,,,
